NUMBER;ACTIVITY;LOCATION;TYPE;PLACE
370;Dinner;Door;PIR;Kitchen
371;Dinner;Cupboard;Magnetic;Kitchen
372;Dinner;Door;PIR;Kitchen
373;Dinner;Door;PIR;Living
374;Dinner;Door;PIR;Living
375;Dinner;Door;PIR;Kitchen
376;Dinner;Door;PIR;Kitchen
377;Dinner;Door;PIR;Living
378;Dinner;Door;PIR;Living
379;Dinner;Door;PIR;Kitchen
380;Dinner;Door;PIR;Kitchen
381;Dinner;Door;PIR;Living
382;Dinner;Door;PIR;Living
383;Dinner;Door;PIR;Kitchen
384;Dinner;Door;PIR;Kitchen
385;Dinner;Toilet;Flush;Bathroom
386;Dinner;Door;PIR;Bedroom
387;Dinner;Door;PIR;Bedroom
388;Dinner;Door;PIR;Living
389;Dinner;Door;PIR;Living
390;Dinner;Maindoor;Magnetic;Entrance
391;Dinner;Maindoor;Magnetic;Entrance
392;Dinner;Door;PIR;Living
393;Dinner;Door;PIR;Living
394;Dinner;Toilet;Flush;Bathroom
395;Dinner;Door;PIR;Living
396;Dinner;Door;PIR;Living
397;Dinner;Door;PIR;Kitchen
398;Dinner;Microwave;Electric;Kitchen
399;Dinner;Fridge;Magnetic;Kitchen
400;Dinner;Door;PIR;Kitchen
401;Dinner;Door;PIR;Living
402;Dinner;Seat;Pressure;Living
403;Dinner;Door;PIR;Living
404;Dinner;Door;PIR;Kitchen
405;Dinner;Door;PIR;Kitchen
406;Dinner;Door;PIR;Living
407;Dinner;Seat;Pressure;Living
408;Dinner;Door;PIR;Living
409;Dinner;Door;PIR;Kitchen
410;Dinner;Door;PIR;Kitchen
411;Dinner;Door;PIR;Living
412;Dinner;Seat;Pressure;Living
413;Dinner;Door;PIR;Living
414;Dinner;Door;PIR;Living
415;Dinner;Door;PIR;Living
416;Dinner;Basin;PIR;Bathroom
417;Dinner;Door;PIR;Living
418;Dinner;Door;PIR;Living
419;Dinner;Maindoor;Magnetic;Entrance
420;Breakfast;Maindoor;Magnetic;Entrance
421;Breakfast;Door;PIR;Bedroom
422;Breakfast;Door;PIR;Bedroom
423;Breakfast;Door;PIR;Living
424;Breakfast;Door;PIR;Living
425;Breakfast;Basin;PIR;Bathroom
426;Breakfast;Toilet;Flush;Bathroom
427;Breakfast;Basin;PIR;Bathroom
428;Breakfast;Door;PIR;Bedroom
429;Breakfast;Bed;Pressure;Bedroom
430;Breakfast;Door;PIR;Bedroom
431;Breakfast;Toilet;Flush;Bathroom
432;Breakfast;Door;PIR;Living
433;Breakfast;Door;PIR;Living
434;Breakfast;Door;PIR;Kitchen
435;Breakfast;Fridge;Magnetic;Kitchen
436;Breakfast;Fridge;Magnetic;Kitchen
437;Breakfast;Microwave;Electric;Kitchen
438;Breakfast;Door;PIR;Kitchen
439;Breakfast;Door;PIR;Bedroom
440;Breakfast;Door;PIR;Bedroom
441;Breakfast;Shower;PIR;Bathroom
442;Breakfast;Basin;PIR;Bathroom
443;Breakfast;Basin;PIR;Bathroom
444;Breakfast;Door;PIR;Bedroom
445;Breakfast;Door;PIR;Bedroom
446;Breakfast;Basin;PIR;Bathroom
447;Showering;Door;PIR;Bedroom
448;Showering;Door;PIR;Bedroom
449;Showering;Maindoor;Magnetic;Entrance
450;Spare_Time/TV;Maindoor;Magnetic;Entrance
451;Spare_Time/TV;Door;PIR;Living
452;Spare_Time/TV;Door;PIR;Living
453;Spare_Time/TV;Door;PIR;Bedroom
454;Spare_Time/TV;Door;PIR;Bedroom
455;Spare_Time/TV;Door;PIR;Bedroom
456;Spare_Time/TV;Door;PIR;Bedroom
457;Spare_Time/TV;Basin;PIR;Bathroom
458;Spare_Time/TV;Door;PIR;Bedroom
459;Spare_Time/TV;Door;PIR;Bedroom
460;Spare_Time/TV;Door;PIR;Living
461;Lunch;Seat;Pressure;Living
462;Lunch;Door;PIR;Living
463;Lunch;Door;PIR;Kitchen
464;Lunch;Door;PIR;Kitchen
465;Lunch;Door;PIR;Living
466;Lunch;Seat;Pressure;Living
467;Toileting;Door;PIR;Living
468;Toileting;Door;PIR;Living
469;Toileting;Door;PIR;Living
470;Toileting;Door;PIR;Bedroom
471;Toileting;Door;PIR;Bedroom
472;Toileting;Maindoor;Magnetic;Entrance
473;Toileting;Maindoor;Magnetic;Entrance
474;Toileting;Door;PIR;Bedroom
475;Toileting;Door;PIR;Bedroom
476;Toileting;Toilet;Flush;Bathroom
477;Toileting;Basin;PIR;Bathroom
478;Toileting;Door;PIR;Living
479;Toileting;Door;PIR;Living
480;Toileting;Door;PIR;Kitchen
481;Toileting;Door;PIR;Kitchen
482;Toileting;Door;PIR;Living
483;Toileting;Seat;Pressure;Living
484;Toileting;Door;PIR;Living
485;Toileting;Door;PIR;Kitchen
486;Toileting;Door;PIR;Kitchen
487;Toileting;Door;PIR;Living
488;Toileting;Door;PIR;Living
489;Toileting;Door;PIR;Bedroom
490;Toileting;Door;PIR;Bedroom
491;Toileting;Door;PIR;Living
492;Toileting;Door;PIR;Living
493;Grooming;Door;PIR;Living
494;Grooming;Door;PIR;Living
495;Grooming;Door;PIR;Kitchen
496;Grooming;Door;PIR;Kitchen
497;Grooming;Door;PIR;Living
498;Grooming;Seat;Pressure;Living
499;Grooming;Door;PIR;Living
500;Grooming;Door;PIR;Kitchen
501;Grooming;Door;PIR;Kitchen
502;Grooming;Door;PIR;Living
503;Grooming;Seat;Pressure;Living
504;Grooming;Door;PIR;Living
505;Grooming;Door;PIR;Kitchen
506;Grooming;Microwave;Electric;Kitchen
507;Grooming;Door;PIR;Kitchen
508;Grooming;Door;PIR;Living
509;Grooming;Door;PIR;Living
510;Grooming;Door;PIR;Kitchen
511;Grooming;Microwave;Electric;Kitchen
512;Grooming;Door;PIR;Kitchen
513;Grooming;Door;PIR;Living
514;Grooming;Door;PIR;Living
515;Grooming;Door;PIR;Bedroom
516;Grooming;Door;PIR;Bedroom
517;Grooming;Door;PIR;Living
518;Grooming;Door;PIR;Living
519;Grooming;Toilet;Flush;Bathroom
520;Grooming;Basin;PIR;Bathroom
521;Grooming;Door;PIR;Bedroom
522;Grooming;Door;PIR;Bedroom
523;Grooming;Door;PIR;Living
524;Grooming;Door;PIR;Living
525;Grooming;Door;PIR;Bedroom
526;Grooming;Door;PIR;Bedroom
527;Grooming;Door;PIR;Living
528;Grooming;Door;PIR;Living
529;Grooming;Basin;PIR;Bathroom
530;Grooming;Door;PIR;Living
531;Grooming;Door;PIR;Living
532;Grooming;Maindoor;Magnetic;Entrance
533;Grooming;Maindoor;Magnetic;Entrance
534;Grooming;Door;PIR;Bedroom
535;Grooming;Door;PIR;Bedroom
536;Grooming;Door;PIR;Living
537;Grooming;Seat;Pressure;Living
538;Grooming;Door;PIR;Living
539;Grooming;Door;PIR;Bedroom
540;Sleeping;Bed;Pressure;Bedroom
541;Toileting;Door;PIR;Bedroom
542;Toileting;Door;PIR;Living
543;Toileting;Door;PIR;Living
544;Toileting;Door;PIR;Kitchen
545;Toileting;Door;PIR;Kitchen
546;Toileting;Toilet;Flush;Bathroom
547;Toileting;Door;PIR;Kitchen
548;Toileting;Fridge;Magnetic;Kitchen
549;Toileting;Microwave;Electric;Kitchen
550;Toileting;Fridge;Magnetic;Kitchen
551;Toileting;Door;PIR;Kitchen
552;Toileting;Door;PIR;Bedroom
553;Toileting;Door;PIR;Bedroom
554;Toileting;Door;PIR;Kitchen
555;Toileting;Door;PIR;Kitchen
556;Toileting;Shower;PIR;Bathroom
557;Toileting;Basin;PIR;Bathroom
558;Toileting;Basin;PIR;Bathroom
559;Toileting;Door;PIR;Bedroom
560;Breakfast;Door;PIR;Bedroom
561;Showering;Maindoor;Magnetic;Entrance
562;Showering;Maindoor;Magnetic;Entrance
563;Showering;Door;PIR;Bedroom
564;Showering;Door;PIR;Bedroom
565;Showering;Door;PIR;Kitchen
566;Grooming;Door;PIR;Kitchen
567;Grooming;Door;PIR;Bedroom
568;Grooming;Door;PIR;Bedroom
569;Grooming;Door;PIR;Living
570;Grooming;Door;PIR;Living
571;Grooming;Door;PIR;Living
572;Leaving;Seat;Pressure;Living
573;Grooming;Door;PIR;Living
574;Grooming;Maindoor;Magnetic;Entrance
575;Leaving;Maindoor;Magnetic;Entrance
576;Leaving;Door;PIR;Living
577;Leaving;Door;PIR;Living
578;Leaving;Door;PIR;Kitchen
579;Toileting;Door;PIR;Kitchen
580;Toileting;Door;PIR;Living
581;Toileting;Door;PIR;Living
582;Toileting;Door;PIR;Kitchen
583;Toileting;Cupboard;Magnetic;Kitchen
584;Toileting;Door;PIR;Kitchen
585;Toileting;Door;PIR;Living
586;Toileting;Door;PIR;Living
587;Toileting;Door;PIR;Kitchen
588;Toileting;Door;PIR;Kitchen
589;Toileting;Door;PIR;Living
590;Toileting;Door;PIR;Living
591;Toileting;Door;PIR;Kitchen
592;Toileting;Door;PIR;Kitchen
593;Toileting;Door;PIR;Living
594;Toileting;Door;PIR;Living
595;Toileting;Door;PIR;Kitchen
596;Spare_Time/TV;Door;PIR;Kitchen
597;Spare_Time/TV;Door;PIR;Living
598;Spare_Time/TV;Door;PIR;Living
599;Spare_Time/TV;Door;PIR;Kitchen
600;Spare_Time/TV;Door;PIR;Kitchen
601;Spare_Time/TV;Toilet;Flush;Bathroom
602;Spare_Time/TV;Basin;PIR;Bathroom
603;Spare_Time/TV;Door;PIR;Living
604;Snack;Door;PIR;Living
605;Snack;Basin;PIR;Bathroom
606;Snack;Door;PIR;Living
607;Snack;Seat;Pressure;Living
608;Snack;Door;PIR;Living
609;Snack;Door;PIR;Kitchen
610;Snack;Door;PIR;Kitchen
611;Snack;Door;PIR;Living
612;Snack;Door;PIR;Living
613;Snack;Door;PIR;Kitchen
614;Snack;Door;PIR;Kitchen
615;Snack;Door;PIR;Living
616;Snack;Seat;Pressure;Living
617;Snack;Door;PIR;Living
618;Snack;Door;PIR;Living
619;Snack;Seat;Pressure;Living
620;Snack;Door;PIR;Living
621;Snack;Door;PIR;Kitchen
622;Snack;Door;PIR;Kitchen
623;Snack;Door;PIR;Living
624;Snack;Door;PIR;Living
625;Snack;Maindoor;Magnetic;Entrance
626;Leaving;Maindoor;Magnetic;Entrance
627;Leaving;Door;PIR;Kitchen
628;Dinner;Fridge;Magnetic;Kitchen
629;Dinner;Fridge;Magnetic;Kitchen
630;Dinner;Door;PIR;Kitchen
631;Dinner;Door;PIR;Living
632;Dinner;Door;PIR;Living
633;Dinner;Door;PIR;Bedroom
634;Grooming;Basin;PIR;Bathroom
635;Grooming;Basin;PIR;Bathroom
636;Spare_Time/TV;Door;PIR;Living
637;Spare_Time/TV;Door;PIR;Living
638;Snack;Door;PIR;Kitchen
639;Spare_Time/TV;Door;PIR;Kitchen
640;Spare_Time/TV;Door;PIR;Living
641;Spare_Time/TV;Seat;Pressure;Living
642;Spare_Time/TV;Door;PIR;Living
643;Toileting;Toilet;Flush;Bathroom
644;Toileting;Door;PIR;Bedroom
645;Sleeping;Bed;Pressure;Bedroom
646;Sleeping;Door;PIR;Bedroom
647;Toileting;Toilet;Flush;Bathroom
648;Toileting;Door;PIR;Kitchen
649;Breakfast;Fridge;Magnetic;Kitchen
650;Breakfast;Fridge;Magnetic;Kitchen
651;Breakfast;Microwave;Electric;Kitchen
652;Breakfast;Fridge;Magnetic;Kitchen
653;Breakfast;Door;PIR;Kitchen
654;Breakfast;Door;PIR;Living
655;Spare_Time/TV;Door;PIR;Living
656;Spare_Time/TV;Seat;Pressure;Living
657;Spare_Time/TV;Door;PIR;Living
658;Grooming;Basin;PIR;Bathroom
659;Grooming;Basin;PIR;Bathroom
660;Showering;Shower;PIR;Bathroom
661;Toileting;Toilet;Flush;Bathroom
662;Grooming;Basin;PIR;Bathroom
663;Grooming;Door;PIR;Living
664;Grooming;Basin;PIR;Bathroom
665;Spare_Time/TV;Door;PIR;Living
666;Spare_Time/TV;Seat;Pressure;Living
667;Spare_Time/TV;Door;PIR;Living
668;Grooming;Basin;PIR;Bathroom
669;Grooming;Door;PIR;Living
670;Grooming;Door;PIR;Living
