NUMBER;ACTIVITY;LOCATION;TYPE;PLACE
137;Spare_Time/TV;Seat;Pressure;Living
138;Lunch;Fridge;Magnetic;Kitchen
139;Lunch;Cooktop;PIR;Kitchen
140;Lunch;Microwave;Electric;Kitchen
141;Lunch;Fridge;Magnetic;Kitchen
142;Lunch;Fridge;Magnetic;Kitchen
143;Spare_Time/TV;Seat;Pressure;Living
144;Grooming;Basin;PIR;Bathroom
145;Spare_Time/TV;Seat;Pressure;Living
146;Toileting;Toilet;Flush;Bathroom
147;Spare_Time/TV;Seat;Pressure;Living
148;Snack;Fridge;Magnetic;Kitchen
149;Spare_Time/TV;Seat;Pressure;Living
150;Toileting;Toilet;Flush;Bathroom
151;Spare_Time/TV;Seat;Pressure;Living
152;Sleeping;Bed;Pressure;Bedroom
153;Toileting;Toilet;Flush;Bathroom
154;Toileting;Cabinet;Magnetic;Bathroom
155;Grooming;Basin;PIR;Bathroom
156;Showering;Shower;PIR;Bathroom
157;Breakfast;Toaster;Electric;Kitchen
158;Breakfast;Cupboard;Magnetic;Kitchen
159;Breakfast;Fridge;Magnetic;Kitchen
160;Breakfast;Microwave;Electric;Kitchen
161;Spare_Time/TV;Seat;Pressure;Living
162;Grooming;Basin;PIR;Bathroom
163;Spare_Time/TV;Seat;Pressure;Living
164;Grooming;Basin;PIR;Bathroom
165;Leaving;Maindoor;Magnetic;Entrance
166;Leaving;Maindoor;Magnetic;Entrance
167;Spare_Time/TV;Seat;Pressure;Living
168;Spare_Time/TV;Seat;Pressure;Living
169;Toileting;Toilet;Flush;Bathroom
170;Spare_Time/TV;Seat;Pressure;Living
171;Sleeping;Bed;Pressure;Bedroom
172;Toileting;Toilet;Flush;Bathroom
173;Toileting;Cabinet;Magnetic;Bathroom
174;Grooming;Basin;PIR;Bathroom
175;Showering;Shower;PIR;Bathroom
176;Breakfast;Fridge;Magnetic;Kitchen
177;Breakfast;Cupboard;Magnetic;Kitchen
178;Breakfast;Microwave;Electric;Kitchen
179;Breakfast;Toaster;Electric;Kitchen
180;Spare_Time/TV;Seat;Pressure;Living
181;Toileting;Toilet;Flush;Bathroom
182;Leaving;Maindoor;Magnetic;Entrance
183;Leaving;Maindoor;Magnetic;Entrance
184;Spare_Time/TV;Seat;Pressure;Living
185;Snack;Fridge;Magnetic;Kitchen
186;Spare_Time/TV;Seat;Pressure;Living
187;Grooming;Basin;PIR;Bathroom
188;Spare_Time/TV;Seat;Pressure;Living
189;Toileting;Toilet;Flush;Bathroom
190;Toileting;Basin;PIR;Bathroom
191;Snack;Fridge;Magnetic;Kitchen
192;Spare_Time/TV;Seat;Pressure;Living
193;Toileting;Toilet;Flush;Bathroom
194;Toileting;Basin;PIR;Bathroom
195;Spare_Time/TV;Seat;Pressure;Living
196;Grooming;Basin;PIR;Bathroom
197;Sleeping;Bed;Pressure;Bedroom
198;Toileting;Toilet;Flush;Bathroom
199;Grooming;Basin;PIR;Bathroom
200;Showering;Shower;PIR;Bathroom
201;Breakfast;Cupboard;Magnetic;Kitchen
202;Breakfast;Fridge;Magnetic;Kitchen
203;Breakfast;Toaster;Electric;Kitchen
204;Breakfast;Microwave;Electric;Kitchen
205;Breakfast;Fridge;Magnetic;Kitchen
206;Spare_Time/TV;Seat;Pressure;Living
207;Grooming;Basin;PIR;Bathroom
208;Leaving;Maindoor;Magnetic;Entrance
209;Leaving;Maindoor;Magnetic;Entrance
210;Lunch;Fridge;Magnetic;Kitchen
211;Lunch;Cupboard;Magnetic;Kitchen
212;Lunch;Cooktop;PIR;Kitchen
213;Lunch;Microwave;Electric;Kitchen
214;Lunch;Fridge;Magnetic;Kitchen
215;Lunch;Fridge;Magnetic;Kitchen
216;Lunch;Fridge;Magnetic;Kitchen
217;Lunch;Fridge;Magnetic;Kitchen
218;Lunch;Cupboard;Magnetic;Kitchen
219;Grooming;Basin;PIR;Bathroom
220;Toileting;Toilet;Flush;Bathroom
221;Spare_Time/TV;Seat;Pressure;Living
222;Toileting;Toilet;Flush;Bathroom
223;Spare_Time/TV;Seat;Pressure;Living
224;Leaving;Maindoor;Magnetic;Entrance
225;Leaving;Maindoor;Magnetic;Entrance
226;Spare_Time/TV;Seat;Pressure;Living
227;Snack;Fridge;Magnetic;Kitchen
228;Spare_Time/TV;Seat;Pressure;Living
229;Grooming;Basin;PIR;Bathroom
230;Toileting;Toilet;Flush;Bathroom
231;Spare_Time/TV;Seat;Pressure;Living
232;Toileting;Basin;PIR;Bathroom
233;Toileting;Toilet;Flush;Bathroom
234;Toileting;Basin;PIR;Bathroom
235;Spare_Time/TV;Seat;Pressure;Living
236;Toileting;Toilet;Flush;Bathroom
237;Toileting;Basin;PIR;Bathroom
238;Sleeping;Bed;Pressure;Bedroom
239;Toileting;Toilet;Flush;Bathroom
240;Grooming;Basin;PIR;Bathroom
241;Grooming;Cabinet;Magnetic;Bathroom
242;Grooming;Basin;PIR;Bathroom
243;Showering;Shower;PIR;Bathroom
244;Breakfast;Toaster;Electric;Kitchen
245;Breakfast;Cupboard;Magnetic;Kitchen
246;Breakfast;Fridge;Magnetic;Kitchen
247;Breakfast;Microwave;Electric;Kitchen
248;Spare_Time/TV;Seat;Pressure;Living
249;Lunch;Cupboard;Magnetic;Kitchen
250;Lunch;Cooktop;PIR;Kitchen
251;Lunch;Microwave;Electric;Kitchen
252;Lunch;Fridge;Magnetic;Kitchen
253;Lunch;Fridge;Magnetic;Kitchen
254;Lunch;Fridge;Magnetic;Kitchen
255;Grooming;Basin;PIR;Bathroom
256;Spare_Time/TV;Seat;Pressure;Living
257;Toileting;Toilet;Flush;Bathroom
258;Toileting;Basin;PIR;Bathroom
259;Spare_Time/TV;Seat;Pressure;Living
260;Grooming;Basin;PIR;Bathroom
261;Spare_Time/TV;Seat;Pressure;Living
262;Snack;Fridge;Magnetic;Kitchen
263;Grooming;Basin;PIR;Bathroom
264;Spare_Time/TV;Seat;Pressure;Living
265;Grooming;Basin;PIR;Bathroom
266;Spare_Time/TV;Seat;Pressure;Living
267;Toileting;Toilet;Flush;Bathroom
268;Sleeping;Bed;Pressure;Bedroom
269;Toileting;Toilet;Flush;Bathroom
270;Grooming;Cabinet;Magnetic;Bathroom
271;Grooming;Basin;PIR;Bathroom
272;Grooming;Cabinet;Magnetic;Bathroom
273;Showering;Shower;PIR;Bathroom
274;Breakfast;Toaster;Electric;Kitchen
275;Breakfast;Cupboard;Magnetic;Kitchen
276;Breakfast;Fridge;Magnetic;Kitchen
277;Breakfast;Microwave;Electric;Kitchen
278;Spare_Time/TV;Seat;Pressure;Living
279;Lunch;Cupboard;Magnetic;Kitchen
280;Lunch;Cooktop;PIR;Kitchen
281;Lunch;Microwave;Electric;Kitchen
282;Lunch;Fridge;Magnetic;Kitchen
283;Lunch;Fridge;Magnetic;Kitchen
284;Lunch;Cupboard;Magnetic;Kitchen
285;Lunch;Fridge;Magnetic;Kitchen
286;Spare_Time/TV;Seat;Pressure;Living
287;Grooming;Basin;PIR;Bathroom
288;Spare_Time/TV;Seat;Pressure;Living
289;Grooming;Basin;PIR;Bathroom
290;Leaving;Maindoor;Magnetic;Entrance
291;Leaving;Maindoor;Magnetic;Entrance
292;Grooming;Basin;PIR;Bathroom
293;Toileting;Toilet;Flush;Bathroom
294;Spare_Time/TV;Seat;Pressure;Living
295;Snack;Fridge;Magnetic;Kitchen
296;Snack;Cupboard;Magnetic;Kitchen
297;Snack;Fridge;Magnetic;Kitchen
298;Snack;Cupboard;Magnetic;Kitchen
299;Snack;Fridge;Magnetic;Kitchen
300;Toileting;Toilet;Flush;Bathroom
301;Spare_Time/TV;Seat;Pressure;Living
302;Spare_Time/TV;Seat;Pressure;Living
303;Toileting;Basin;PIR;Bathroom
304;Spare_Time/TV;Seat;Pressure;Living
305;Sleeping;Bed;Pressure;Bedroom
306;Grooming;Basin;PIR;Bathroom
307;Toileting;Toilet;Flush;Bathroom
308;Toileting;Cabinet;Magnetic;Bathroom
309;Toileting;Basin;PIR;Bathroom
310;Showering;Shower;PIR;Bathroom
311;Breakfast;Toaster;Electric;Kitchen
312;Breakfast;Cupboard;Magnetic;Kitchen
313;Breakfast;Fridge;Magnetic;Kitchen
314;Breakfast;Cooktop;PIR;Kitchen
315;Breakfast;Microwave;Electric;Kitchen
316;Spare_Time/TV;Seat;Pressure;Living
317;Grooming;Basin;PIR;Bathroom
318;Leaving;Maindoor;Magnetic;Entrance
319;Leaving;Maindoor;Magnetic;Entrance
320;Spare_Time/TV;Seat;Pressure;Living
321;Grooming;Basin;PIR;Bathroom
322;Spare_Time/TV;Seat;Pressure;Living
323;Grooming;Basin;PIR;Bathroom
324;Spare_Time/TV;Seat;Pressure;Living
325;Grooming;Basin;PIR;Bathroom
326;Sleeping;Bed;Pressure;Bedroom
327;Toileting;Toilet;Flush;Bathroom
328;Grooming;Cabinet;Magnetic;Bathroom
329;Grooming;Basin;PIR;Bathroom
330;Showering;Shower;PIR;Bathroom
331;Breakfast;Toaster;Electric;Kitchen
332;Breakfast;Cupboard;Magnetic;Kitchen
333;Breakfast;Fridge;Magnetic;Kitchen
334;Breakfast;Cooktop;PIR;Kitchen
335;Breakfast;Microwave;Electric;Kitchen
336;Spare_Time/TV;Seat;Pressure;Living
337;Grooming;Basin;PIR;Bathroom
338;Leaving;Maindoor;Magnetic;Entrance
339;Leaving;Maindoor;Magnetic;Entrance
340;Spare_Time/TV;Seat;Pressure;Living
341;Toileting;Toilet;Flush;Bathroom
342;Spare_Time/TV;Seat;Pressure;Living
343;Grooming;Basin;PIR;Bathroom
344;Spare_Time/TV;Seat;Pressure;Living
345;Leaving;Maindoor;Magnetic;Entrance
346;Leaving;Maindoor;Magnetic;Entrance
347;Spare_Time/TV;Seat;Pressure;Living
348;Grooming;Basin;PIR;Bathroom
349;Spare_Time/TV;Seat;Pressure;Living
350;Grooming;Basin;PIR;Bathroom
351;Spare_Time/TV;Seat;Pressure;Living
352;Sleeping;Bed;Pressure;Bedroom
353;Toileting;Toilet;Flush;Bathroom
354;Grooming;Cabinet;Magnetic;Bathroom
355;Grooming;Basin;PIR;Bathroom
356;Grooming;Cabinet;Magnetic;Bathroom
357;Grooming;Basin;PIR;Bathroom
358;Showering;Shower;PIR;Bathroom
359;Breakfast;Cupboard;Magnetic;Kitchen
360;Breakfast;Toaster;Electric;Kitchen
361;Breakfast;Cupboard;Magnetic;Kitchen
362;Breakfast;Fridge;Magnetic;Kitchen
363;Breakfast;Microwave;Electric;Kitchen
364;Breakfast;Cooktop;PIR;Kitchen
365;Spare_Time/TV;Seat;Pressure;Living
366;Grooming;Basin;PIR;Bathroom
367;Leaving;Maindoor;Magnetic;Entrance
368;Leaving;Maindoor;Magnetic;Entrance
369;Spare_Time/TV;Seat;Pressure;Living
370;Grooming;Basin;PIR;Bathroom
371;Leaving;Maindoor;Magnetic;Entrance
372;Leaving;Maindoor;Magnetic;Entrance
373;Spare_Time/TV;Seat;Pressure;Living
374;Grooming;Basin;PIR;Bathroom
375;Sleeping;Bed;Pressure;Bedroom
376;Toileting;Toilet;Flush;Bathroom
377;Grooming;Basin;PIR;Bathroom
378;Showering;Shower;PIR;Bathroom
379;Breakfast;Toaster;Electric;Kitchen
380;Breakfast;Cupboard;Magnetic;Kitchen
381;Breakfast;Fridge;Magnetic;Kitchen
382;Breakfast;Microwave;Electric;Kitchen
383;Spare_Time/TV;Seat;Pressure;Living
384;Lunch;Cupboard;Magnetic;Kitchen
385;Lunch;Cooktop;PIR;Kitchen
386;Lunch;Cupboard;Magnetic;Kitchen
387;Lunch;Cupboard;Magnetic;Kitchen
388;Lunch;Cupboard;Magnetic;Kitchen
389;Lunch;Fridge;Magnetic;Kitchen
390;Toileting;Toilet;Flush;Bathroom
391;Grooming;Basin;PIR;Bathroom
